Nr.,店名,中文店名,英文店名,类别,连锁,地址,城区
74,寻鲜记/Chuan House,寻鲜记,Chuan House,饭店,否,"Landsberger Allee 6, 10249 Berlin",Friedrichshain
75,玉面阁/Jade Palast,玉面阁,Jade Palast,饭店,是,"Wühlischstr. 30, 10245 Berlin",Friedrichshain
76,华亭酒家/HuaTing,华亭酒家,Hua Ting,饭店,否,"Strausberger Pl. 13, 10243 Berlin",Friedrichshain
77,上海饭店/Shanghai,上海饭店,Shanghai,饭店,否,"Frankfurter Allee 90, 10247 Berlin",Friedrichshain
78,红豆中餐馆/Rotbohnen (Fhain),红豆中餐馆,Rotbohnen (Fhain),小吃,是,"Boxhagener Str. 55, 10245 Berlin",Friedrichshain
79,Lu Kitchen (Fhain),Lu Kitchen (Fhain),Lu Kitchen (Fhain),小吃,是,"Simon-Dach-str. 30, 10245 Berlin",Friedrichshain
80,茶点屋/Teegeback-Haus,茶点屋,Teegeback-Haus,小吃,否,"Waldeyerstr. 12, 10247 Berlin",Friedrichshain
81,熊猫师傅/PandaMeister,熊猫师傅,Panda Meister,小吃,是,"Hermann-Stohr-Platz 9-11, 10243 Berlin",Friedrichshain
82,山西面馆/ShanxiNudelhaus,山西面馆,Shanxi Nudelhaus,面馆,否,"Samariterstr. 28, 10247 Berlin",Friedrichshain
83,陈香贵/Mr.NoodleChen (Fhain),陈香贵,Mr.Noodle Chen (Fhain),面馆,是,"Niederbarnimstr. 4, 10247 Berlin",Friedrichshain
84,兰州拉面/LanzhouBeefNoodles,兰州拉面,Lanzhou Beef Noodles,面馆,是,"KrossenerStr. 12, 10245 Berlin",Friedrichshain
85,傻妞面馆/Shaniu's HouseofNoodles (Fhain),傻妞面馆,Shaniu's House of Noodles (Fhain),面馆,是,"Niederbarnimstr. 12, 10247 Berlin",Friedrichshain
86,见一面/MeetNoodles,见一面,Meet Noodles,面馆,否,"Boxhagener Str. 104, 10245 Berlin",Friedrichshain
87,Wen Cheng (Fhain),Wen Cheng (Fhain),Wen Cheng (Fhain),面馆,是,"Simon-Dach-str. 22, 10245 Berlin",Friedrichshain
88,麦/MayNoodles,麦,May Noodles,面馆,否,"Boxhagener Str. 50, 10245 Berlin",Friedrichshain
89,如意轩火锅/RuyixuanHotpot,如意轩火锅,Ruyixuan Hotpot,火锅,否,"Plaza, Frankfurter Allee 73C, 10247 Berlin",Friedrichshain
90,三顾冒菜/SankuMaotsai (Fhain),三顾冒菜,Sanku Maot'sai (Fhain),麻辣烫/冒菜,是,"WarschauerStr. 81a, 10241 Berlin",Friedrichshain
91,大清面馆/Hotpot&Nudeln,大清面馆,Hotpot & Nudeln,麻辣烫/冒菜,否,"RevalerStr. 17, 10245 Berlin",Friedrichshain
92,莲花阁素食/KamalaVegan,莲花阁素食,Kamala Vegan,素食,否,"Boxhagener Str. 85, 10245 Berlin",Friedrichshain
93,长征餐厅/LongMarchCanteen,长征餐厅,Long March Canteen,饭店,否,"Wrangelstr. 20, 10997 Berlin",Kreuzberg
94,蜀味坊/ShuWeiFang-SzechuanHouse,蜀味坊,Shu Wei Fang - SzechuanHouse,饭店,否,"Paul-Lincke-Ufer 45, 10999 Berlin",Kreuzberg
95,唐记/TangsKantine,唐记,Tangs Kantine,饭店,否,"Dieffenbachstr. 18, 10967 Berlin",Kreuzberg
